NextBusGroup,BusNo,BusStopCode,Destination Description,Operator,EstimatedTimeOfArrival,DestinationCode,WheelchairAccessible,Load,Monitored,OriginCode,TypeOfBus,Right_BusStopCode,SAT_FirstBus,SAT_LastBus,SUN_FirstBus,SUN_LastBus,WD_FirstBus,WD_LastBus,Right_Right_BusStopCode,Bus Stop Description
NextBus,52,53009,Bishan Int,SBST,2025-01-23 21:37:23,53009,WAB,SEA,1,28009,SD,12101,0612,0015,0613,0016,0619,0015,12101,Ngee Ann Poly
NextBus2,52,53009,Bishan Int,SBST,2025-01-23 21:49:39,53009,WAB,SEA,1,28009,DD,12101,0612,0015,0613,0016,0619,0015,12101,Ngee Ann Poly
NextBus3,52,53009,Bishan Int,SBST,2025-01-23 21:56:10,53009,WAB,SEA,1,28009,DD,12101,0612,0015,0613,0016,0619,0015,12101,Ngee Ann Poly
NextBus,184,44989,Gali Batu Ter,SMRT,2025-01-23 21:32:53,44989,WAB,SEA,1,44989,BD,12109,0622,2331,0621,2331,0602,2327,12109,Opp Ngee Ann Poly
NextBus,75,44989,Gali Batu Ter,SMRT,2025-01-23 21:43:48,44989,WAB,SEA,1,10009,SD,12101,0640,0032,0704,0030,0633,0031,12101,Ngee Ann Poly
NextBus,184,44989,Gali Batu Ter,SMRT,2025-01-23 21:37:20,44989,WAB,SEA,1,44989,BD,12101,0638,2347,0634,2345,0612,2350,12101,Ngee Ann Poly
NextBus2,184,44989,Gali Batu Ter,SMRT,2025-01-23 21:43:06,44989,WAB,SEA,1,44989,DD,12109,0622,2331,0621,2331,0602,2327,12109,Opp Ngee Ann Poly
NextBus2,75,44989,Gali Batu Ter,SMRT,2025-01-23 21:59:10,44989,WAB,SEA,1,10009,SD,12101,0640,0032,0704,0030,0633,0031,12101,Ngee Ann Poly
NextBus2,184,44989,Gali Batu Ter,SMRT,2025-01-23 21:51:59,44989,WAB,SEA,1,44989,BD,12101,0638,2347,0634,2345,0612,2350,12101,Ngee Ann Poly
NextBus3,184,44989,Gali Batu Ter,SMRT,2025-01-23 21:50:12,44989,WAB,SEA,1,44989,DD,12109,0622,2331,0621,2331,0602,2327,12109,Opp Ngee Ann Poly
NextBus3,184,44989,Gali Batu Ter,SMRT,2025-01-23 22:02:14,44989,WAB,SEA,1,44989,DD,12101,0638,2347,0634,2345,0612,2350,12101,Ngee Ann Poly
